rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:7gaA3wERFkFkgivjwbSvkG","Ariana Grande","yes, and?","Republic Records",1,-1,1,"12908587"
2,"spotify:track:4xhsWYTOGcal8zt0J161CU","Jack Harlow","Lovin On Me","Generation Now/Atlantic",1,1,10,"10744207"
3,"spotify:track:52eIcoLUM25zbQupAZYoFh","21 Savage","redrum","Slaughter Gang, LLC/Epic Records",3,-1,1,"10497426"
4,"spotify:track:0mflMxspEfB0VbI1kyLiAv","Noah Kahan","Stick Season","Mercury Records/Republic Records",2,2,64,"9479500"
5,"spotify:track:2yUzr8Sr6ldG8vmHhZwTnz","21 Savage, Travis Scott, Metro Boomin","née-nah","Slaughter Gang, LLC/Epic Records",5,-1,1,"9104502"
6,"spotify:track:3vkCueOmm7xQDoJ17W1Pm3","Mitski","My Love Mine All Mine","Dead Oceans",3,4,18,"8128535"
7,"spotify:track:4KULAymBBJcPRpk1yO4dOG","Zach Bryan, Kacey Musgraves","I Remember Everything (feat. Kacey Musgraves)","Warner Records",1,3,21,"7971823"
8,"spotify:track:0R6NfOiLzLj4O5VbYSJAjf","Xavi","La Diabla","Interscope Records",7,7,5,"7480063"
9,"spotify:track:6x9pCndnXEoea0CMcfjs9W","21 Savage, Doja Cat","n.h.i.e.","Slaughter Gang, LLC/Epic Records",9,-1,1,"7389899"
10,"spotify:track:3rUGC1vUpkDG9CZFHMur1t","Tate McRae","greedy","RCA Records Label",4,5,18,"7222329"
11,"spotify:track:6XaJfhwof7qIgbbXO5tIQI","Kali Uchis, Peso Pluma","Igual Que Un Ángel (with Peso Pluma)","Geffen Records",11,-1,1,"6953388"
12,"spotify:track:1BxfuPKGuaTgP7aM0Bbdwr","Taylor Swift","Cruel Summer","Taylor Swift",2,6,62,"6829819"
13,"spotify:track:2FoahzOSxJnalPA8aBUme3","21 Savage","all of me","Slaughter Gang, LLC/Epic Records",13,-1,1,"6828059"
14,"spotify:track:1a73gcEg6h6Re6hHXoVltJ","Nicki Minaj","FTCU","Republic Records",7,8,6,"6120387"
15,"spotify:track:1udwFobQ1JoOdWPQrp2b6u","JID, 21 Savage, Baby Tate","Surround Sound (feat. 21 Savage & Baby Tate)","Dreamville/Interscope",11,11,15,"5744080"
16,"spotify:track:3WMj8moIAXJhHsyLaqIIHI","Zach Bryan","Something in the Orange","Warner Records",4,12,91,"5647516"
17,"spotify:track:1yeB8MUNeLo9Ek1UEpsyz6","Drake, Sexyy Red, SZA","Rich Baby Daddy (feat. Sexyy Red & SZA)","OVO/Republic",11,20,15,"5580716"
18,"spotify:track:5PyDJG7SQRgWXefgexqIge","Doja Cat","Agora Hills","Kemosabe Records/RCA Records",6,9,17,"5543110"
19,"spotify:track:47yD0e9MCRIB8dgUXPfyW3","21 Savage, Young Thug, Metro Boomin","pop ur shit","Slaughter Gang, LLC/Epic Records",19,-1,1,"5399068"
20,"spotify:track:6uTPdRrEDeH8Fyg5L5qmeU","Flo Milli","Never Lose Me","'94 Sounds/RCA Records",20,40,3,"5368428"
21,"spotify:track:5XVdHRf4CAJ2Jm0uMIy5qY","Xavi","La Víctima","Interscope Records",21,22,7,"5356575"
22,"spotify:track:6rjuKpPydT2SxN15TZpV7r","Lil Tecca","500lbs","Galactic Records/Lil Tecca",12,15,19,"5279509"
23,"spotify:track:2K7sv1mno9PvbXVBpqvSKn","21 Savage","sneaky","Slaughter Gang, LLC/Epic Records",23,-1,1,"5247708"
24,"spotify:track:0fyP96TikhD9sM4eKqw5Yp","21 Savage, Lil Durk, Metro Boomin","dangerous","Slaughter Gang, LLC/Epic Records",24,-1,1,"5241032"
25,"spotify:track:56y1jOTK0XSvJzVv9vHQBK","Doja Cat","Paint The Town Red","Kemosabe Records/RCA Records",1,13,24,"5100632"
26,"spotify:track:2YSzYUF3jWqb9YP9VXmpjE","Drake, Yeat","IDGAF (feat. Yeat)","OVO/Republic",1,14,15,"5052748"
27,"spotify:track:6WzRpISELf3YglGAh7TXcG","The Weeknd, Playboi Carti, Madonna","Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series)","XO / Republic Records",16,25,27,"5022867"
28,"spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2","SZA","Snooze","Top Dawg Entertainment/RCA Records",10,10,58,"4953964"
29,"spotify:track:4rXLjWdF2ZZpXCVTfWcshS","Gunna","fukumean","300 Entertainment",1,17,31,"4896385"
30,"spotify:track:7K3BhSpAxZBznislvUMVtn","Morgan Wallen","Last Night","Big Loud Records / Mercury Records / Republic Records",1,21,51,"4890966"
31,"spotify:track:6wsqVwoiVH2kde4k4KKAFU","Travis Scott","I KNOW ?","Cactus Jack/Epic",3,16,25,"4882619"
32,"spotify:track:17phhZDn6oGtzMe56NuWvj","Teddy Swims","Lose Control","Warner Records",28,28,10,"4858032"
33,"spotify:track:1kuGVB7EU95pJObxwvfwKS","Olivia Rodrigo","vampire","Olivia Rodrigo PS",1,18,29,"4813922"
34,"spotify:track:7CyPwkp0oE8Ro9Dd5CUDjW","The Weeknd, JENNIE, Lily-Rose Depp","One Of The Girls (with JENNIE, Lily Rose Depp)","XO / Republic Records",29,29,8,"4664237"
35,"spotify:track:4Xzq2WibDHR5Eufi21HlEZ","21 Savage, Brent Faiyaz","should've wore a bonnet","Slaughter Gang, LLC/Epic Records",35,-1,1,"4638749"
36,"spotify:track:7aqfrAY2p9BUSiupwk3svU","Drake, J. Cole","First Person Shooter (feat. J. Cole)","OVO/Republic",2,23,15,"4636814"
37,"spotify:track:2Zo1PcszsT9WQ0ANntJbID","Sabrina Carpenter","Feather","Island Records",31,31,8,"4626790"
38,"spotify:track:7KA4W4McWYRpgf0fWsJZWB","Tyler, The Creator, Kali Uchis","See You Again (feat. Kali Uchis)","Columbia",5,19,133,"4511273"
39,"spotify:track:5wttBUDyaHAR5q9fYnN3YF","21 Savage, Summer Walker","prove it","Slaughter Gang, LLC/Epic Records",39,-1,1,"4455552"
40,"spotify:track:68Dni7IE4VyPkTOH9mRWHr","J. Cole","No Role Modelz","Roc Nation Records LLC",10,27,310,"4416572"
41,"spotify:track:4tKGFmENO69tZR9ahgZu48","Sophie Ellis-Bextor","Murder On The Dancefloor","Polydor Records",41,43,3,"4402068"
42,"spotify:track:3xKsf9qdS1CyvXSMEid6g8","Frank Ocean","Pink + White","Boys Don't Cry",30,33,75,"4369516"
43,"spotify:track:6wf7Yu7cxBSPrRlWeSeK0Q","Billie Eilish","What Was I Made For? [From The Motion Picture ""Barbie""]","Darkroom/Interscope Records",6,30,27,"4211399"
44,"spotify:track:1Iq8oo9XkmmvCQiGOfORiz","Taylor Swift","Is It Over Now? (Taylor's Version) (From The Vault)","Taylor Swift",1,26,12,"4114486"
45,"spotify:track:1Qrg8KqiBpW07V7PNxwwwL","SZA","Kill Bill","Top Dawg Entertainment/RCA Records",1,24,58,"4076559"
46,"spotify:track:4E63weMCaNZuGPEFMnuEi8","Tate McRae","exes","RCA Records Label",16,34,9,"4024673"
47,"spotify:track:4yLyVdEqV790aIXyGif85v","21 Savage, Tommy Newport, Mikky Ekko","red sky","Slaughter Gang, LLC/Epic Records",47,-1,1,"4018187"
48,"spotify:track:6dBUzqjtbnIa1TwYbyw5CM","TV Girl","Lovers Rock","TV Girl",38,38,61,"4013829"
49,"spotify:track:0PAcdVzhPO4gq1Iym9ESnK","Morgan Wallen","Thinkin’ Bout Me","Big Loud Records / Mercury Records / Republic Records",9,42,46,"3923301"
50,"spotify:track:3IznIgmXtrUaoPWpQTy5jB","TV Girl","Not Allowed","TV Girl",39,39,36,"3826496"
51,"spotify:track:42VsgItocQwOQC3XWZ8JNA","Travis Scott, Playboi Carti","FE!N (feat. Playboi Carti)","Cactus Jack/Epic",2,45,25,"3795882"
52,"spotify:track:6CvTEtGagmzQvkUzzyKR9k","Fuerza Regida, Marshmello","HARLEY QUINN","Rancho Humilde/Street Mob Records",20,35,12,"3765192"
53,"spotify:track:05WVKTdZhlIMX4qqMLuo0f","Peso Pluma, Anitta","BELLAKEO","Double P Records",35,41,5,"3764905"
54,"spotify:track:4EWCNWgDS8707fNSZ1oaA5","Kanye West","Heartless","Roc-A-Fella",40,44,120,"3744081"
55,"spotify:track:6uIIdjYTxxpWOyWuVXrKQO","Calle 24, Chino Pacas, Fuerza Regida","Que Onda","Street Mob Records - Rancho Humilde",40,46,20,"3733001"
56,"spotify:track:2QjOHCTQ1Jl3zawyYOpxh6","The Neighbourhood","Sweater Weather","Columbia",13,37,178,"3729430"
57,"spotify:track:3V61OemfXgsHhb50Hrt1lT","4batz","act ii: date @ 8","4batz/gamma.",57,104,2,"3705915"
58,"spotify:track:5P1z8XwsCStb74emERTx9v","21 Savage","letter to my brudda","Slaughter Gang, LLC/Epic Records",58,-1,1,"3658465"
59,"spotify:track:5ZJGv7aGdIr9IGpxzSG18T","Nicki Minaj, Lil Uzi Vert","Everybody (feat. Lil Uzi Vert)","Republic Records",27,36,6,"3631279"
60,"spotify:track:4KW1lqgSr8TKrvBII0Brf8","Kanye West","Father Stretch My Hands Pt. 1","Rock The World/IDJ/Kanye LP7",52,54,99,"3627664"
61,"spotify:track:3hxIUxnT27p5WcmjGUXNwx","Hotel Ugly","Shut up My Moms Calling","Hotel Ugly, under exclusive license to Amuseio AB",29,47,72,"3608709"
62,"spotify:track:3cBsEDNhFI9E82vPj3kvi3","Morgan Wallen","Wasted On You","Big Loud / Republic",3,53,156,"3584288"
63,"spotify:track:5aIVCx5tnk0ntmdiinnYvw","Tyla","Water","FAX Records/Epic",23,32,16,"3582345"
64,"spotify:track:4E64eAph6AYI98ucunrGH8","21 Savage","see the real","Slaughter Gang, LLC/Epic Records",64,-1,1,"3544953"
65,"spotify:track:5mjYQaktjmjcMKcUIcqz4s","Kenya Grace","Strangers","Warner Records/Major Recordings",17,49,19,"3470410"
66,"spotify:track:5W4kiM2cUYBJXKRudNyxjW","Morgan Wallen","You Proof","Big Loud Records / Mercury Records / Republic Records",8,50,88,"3433828"
67,"spotify:track:2Dct3GykKZ58hpWRFfe2Qd","Zach Bryan","Heading South","Warner Records",36,56,62,"3413248"
68,"spotify:track:1xK59OXxi2TAAAbmZK0kBL","d4vd","Romantic Homicide","Darkroom/Interscope Records",3,61,76,"3363083"
