rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,week
1,"spotify:track:4KULAymBBJcPRpk1yO4dOG","Zach Bryan, Kacey Musgraves","I Remember Everything (feat. Kacey Musgraves)","Warner Records",1,-1,1,"14180204",2023-08-31
2,"spotify:track:2IGMVunIBsBLtEQyoI1Mu7","Doja Cat","Paint The Town Red","Kemosabe Records/RCA Records",1,1,4,"12500705",2023-08-31
3,"spotify:track:4pCbJC43j3gSqG6Fen6upD","Zach Bryan, The War And Treaty","Hey Driver (feat. The War and Treaty)","Warner Records",3,-1,1,"9369542",2023-08-31
4,"spotify:track:4rXLjWdF2ZZpXCVTfWcshS","Gunna","fukumean","300 Entertainment",1,3,11,"9284872",2023-08-31
5,"spotify:track:78Du4CMFgnhdlG33gblkiP","Oliver Anthony Music","Rich Men North of Richmond","Oliver Anthony Music/ radiowv",2,2,3,"9244817",2023-08-31
6,"spotify:track:1BxfuPKGuaTgP7aM0Bbdwr","Taylor Swift","Cruel Summer","Taylor Swift",2,4,42,"8649365",2023-08-31
7,"spotify:track:0HEytGQM3bG1vKxER7IgVK","Zach Bryan, The Lumineers","Spotless (feat. The Lumineers)","Warner Records",7,-1,1,"8598650",2023-08-31
8,"spotify:track:00syWkRGIVQvYsg2OwfBUw","Zach Bryan","East Side of Sorrow","Warner Records",8,-1,1,"8350330",2023-08-31
9,"spotify:track:7K3BhSpAxZBznislvUMVtn","Morgan Wallen","Last Night","Big Loud Records / Mercury Records / Republic Records",1,5,31,"8122963",2023-08-31
10,"spotify:track:3EvZ03hGAFwGZ2Ebcu86YH","Zach Bryan","Tourniquet","Warner Records",10,-1,1,"8007789",2023-08-31
11,"spotify:track:5pIVEk6Di7n1v5khOzJaJL","Zach Bryan","Overtime","Warner Records",11,-1,1,"7575721",2023-08-31
12,"spotify:track:0GMiRrUnQuoGddKMsxGPIZ","Zach Bryan","Fear and Friday's","Warner Records",12,-1,1,"7524210",2023-08-31
13,"spotify:track:41WQUSINanQHfhfKpFDsms","Miley Cyrus","Used To Be Young","Columbia",13,-1,1,"7396350",2023-08-31
14,"spotify:track:7eOuUmpnHBlg5zsm8Cs7c3","Zach Bryan","Summertime's Close","Warner Records",14,-1,1,"7213806",2023-08-31
15,"spotify:track:1HwDRgozGBMyfJTQUfz09A","Zach Bryan","Ticking","Warner Records",15,-1,1,"7043838",2023-08-31
16,"spotify:track:3itgPtXSu4I9mr2QD6yrzP","Zach Bryan, Sierra Ferrell","Holy Roller (feat. Sierra Ferrell)","Warner Records",16,-1,1,"6481314",2023-08-31
17,"spotify:track:3k79jB4aGmMDUQzEwa46Rz","Olivia Rodrigo","vampire","Olivia Rodrigo PS",1,6,9,"6393213",2023-08-31
18,"spotify:track:67nepsnrcZkowTxMWigSbb","Travis Scott, Drake","MELTDOWN (feat. Drake)","Cactus Jack/Epic",1,9,5,"6258627",2023-08-31
19,"spotify:track:7C1BLYzAvR0KdBpov3GpUZ","Zach Bryan","El Dorado","Warner Records",19,-1,1,"6057531",2023-08-31
20,"spotify:track:67aaFVnfvFWjxVQMd0jDb5","Zach Bryan","Smaller Acts","Warner Records",20,-1,1,"5978941",2023-08-31
21,"spotify:track:2i8f4VnnBjy0yDqH2C452a","Olivia Rodrigo","bad idea right?","Olivia Rodrigo PS",1,8,3,"5969112",2023-08-31
22,"spotify:track:741UUVE2kuITl0c6zuqqbO","Nicki Minaj, Ice Spice, Aqua","Barbie World (with Aqua) [From Barbie The Album]","Atlantic Records",2,7,10,"5897576",2023-08-31
23,"spotify:track:6wf7Yu7cxBSPrRlWeSeK0Q","Billie Eilish","What Was I Made For? [From The Motion Picture ""Barbie""]","Darkroom/Interscope Records",6,10,7,"5829609",2023-08-31
24,"spotify:track:2pUYbyOIOSfDfsnCR3KceZ","Zach Bryan","Jake's Piano - Long Island","Warner Records",24,-1,1,"5816124",2023-08-31
25,"spotify:track:1vYXt7VSjH9JIM5oRRo7vA","Dua Lipa","Dance The Night - From Barbie The Album","Atlantic Records",9,11,14,"5795135",2023-08-31
26,"spotify:track:44IXD2J5yyr7PpOZzz2cmQ","Zach Bryan","Fear and Friday's (Poem)","Warner Records",26,-1,1,"5792474",2023-08-31
27,"spotify:track:3WMj8moIAXJhHsyLaqIIHI","Zach Bryan","Something in the Orange","Warner Records",4,14,71,"5788114",2023-08-31
28,"spotify:track:6wsqVwoiVH2kde4k4KKAFU","Travis Scott","I KNOW ?","Cactus Jack/Epic",3,12,5,"5787696",2023-08-31
29,"spotify:track:6Otmq7JokHh38wKSqUimcS","Zach Bryan","Tradesman","Warner Records",29,-1,1,"5699628",2023-08-31
30,"spotify:track:1Lo0QY9cvc8sUB2vnIOxDT","Luke Combs","Fast Car","River House Artists/Columbia Nashville",4,13,23,"5647434",2023-08-31
31,"spotify:track:6iF4RgIjDvDqyW13PezSj3","Selena Gomez","Single Soon","Interscope Records",31,-1,1,"5501021",2023-08-31
32,"spotify:track:5RqSsdzTNPX1uzkmlHCFvK","KAROL G, Peso Pluma","QLONA","Bichota/Interscope Records",19,19,3,"5308963",2023-08-31
33,"spotify:track:1Qrg8KqiBpW07V7PNxwwwL","SZA","Kill Bill","Top Dawg Entertainment/RCA Records",1,16,38,"5203958",2023-08-31
34,"spotify:track:4ueTr01dkL360w1knfh21C","Zach Bryan","Oklahoman Son","Warner Records",34,-1,1,"5154760",2023-08-31
35,"spotify:track:7x9aauaA9cu6tyfpHnqDLo","Jung Kook, Latto","Seven (feat. Latto)","BIGHIT MUSIC",3,17,7,"5142689",2023-08-31
36,"spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2","SZA","Snooze","Top Dawg Entertainment/RCA Records",17,37,38,"5007239",2023-08-31
