rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,week
1,"spotify:track:3w0w2T288dec0mgeZZqoNN","¥$, Kanye West, Ty Dolla $ign, Rich The Kid, Playboi Carti","CARNIVAL","Ye",1,-1,1,"13625689",2024-02-15
2,"spotify:track:0mflMxspEfB0VbI1kyLiAv","Noah Kahan","Stick Season","Mercury Records/Republic Records",2,2,68,"11205319",2024-02-15
3,"spotify:track:6tNQ70jh4OwmPGpYy6R2o9","Benson Boone","Beautiful Things","Night Street Records, Inc./Warner Records Inc.",1,1,4,"11134129",2024-02-15
4,"spotify:track:52eIcoLUM25zbQupAZYoFh","21 Savage","redrum","Slaughter Gang, LLC/Epic Records",1,3,5,"8996735",2024-02-15
5,"spotify:track:4KULAymBBJcPRpk1yO4dOG","Zach Bryan, Kacey Musgraves","I Remember Everything (feat. Kacey Musgraves)","Warner Records",1,5,25,"8837536",2024-02-15
6,"spotify:track:7AYmToZ5y67fBjq4RLFbuq","Beyoncé","TEXAS HOLD 'EM","Parkwood Entertainment/Columbia",6,-1,1,"8680551",2024-02-15
7,"spotify:track:4xhsWYTOGcal8zt0J161CU","Jack Harlow","Lovin On Me","Generation Now/Atlantic",1,4,14,"8421058",2024-02-15
8,"spotify:track:6uTPdRrEDeH8Fyg5L5qmeU","Flo Milli","Never Lose Me","'94 Sounds/RCA Records",6,6,7,"7823533",2024-02-15
9,"spotify:track:0R6NfOiLzLj4O5VbYSJAjf","Xavi","La Diabla","Interscope Records",6,9,9,"7524405",2024-02-15
10,"spotify:track:5tEaVciE2GnR28aN6W9cLS","¥$, Kanye West, Ty Dolla $ign","FUK SUMN","Ye",10,-1,1,"7489217",2024-02-15
11,"spotify:track:3vkCueOmm7xQDoJ17W1Pm3","Mitski","My Love Mine All Mine","Dead Oceans",3,8,22,"7297239",2024-02-15
12,"spotify:track:04CyMEHliadfQWMUJb1w99","¥$, Kanye West, Ty Dolla $ign","BURN","Ye",12,-1,1,"7219214",2024-02-15
13,"spotify:track:0FlwhvrncUKrEAhzunmCKm","Noah Kahan","Forever","Mercury Records/Republic Records",13,-1,1,"7218470",2024-02-15
14,"spotify:track:1BxfuPKGuaTgP7aM0Bbdwr","Taylor Swift","Cruel Summer","Taylor Swift",2,11,66,"7202178",2024-02-15
15,"spotify:track:1eaqMiiUn2P7MnqJK4XeK0","¥$, Kanye West, Ty Dolla $ign","TALKING","Ye",15,-1,1,"7152035",2024-02-15
16,"spotify:track:1icgLGTpX2fQXKRe4D7w2b","¥$, Kanye West, Ty Dolla $ign","BACK TO ME","Ye",16,-1,1,"7092237",2024-02-15
17,"spotify:track:3rUGC1vUpkDG9CZFHMur1t","Tate McRae","greedy","RCA Records Label",4,10,22,"6463415",2024-02-15
18,"spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2","SZA","Snooze","Top Dawg Entertainment/RCA Records",10,13,62,"6368167",2024-02-15
19,"spotify:track:17phhZDn6oGtzMe56NuWvj","Teddy Swims","Lose Control","Warner Records",12,12,14,"6286391",2024-02-15
20,"spotify:track:347AQK5Lyhn6RvB8tBGYxt","¥$, Kanye West, Ty Dolla $ign","STARS","Ye",20,-1,1,"6229028",2024-02-15
