rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
186,"spotify:track:4BP3uh0hFLFRb5cjsgLqDh","Creedence Clearwater Revival","Fortunate Son","Craft Recordings",88,200,24,"2763437"
187,"spotify:track:4o6BgsqLIBViaGVbx5rbRk","Daryl Hall & John Oates","You Make My Dreams (Come True)","RCA/BMG Heritage",166,-1,4,"2756768"
188,"spotify:track:3EaJDYHA0KnX88JvDhL9oa","Steve Lacy","Dark Red","Three Quarter",16,187,145,"2740883"
189,"spotify:track:1xK59OXxi2TAAAbmZK0kBL","d4vd","Romantic Homicide","Darkroom/Interscope Records",3,193,93,"2732179"
190,"spotify:track:103u49mLoJUge83B1CnLxI","HARDY","TRUCK BED","Big Loud Records / Big Loud Rock",125,-1,24,"2729676"
191,"spotify:track:2ZWlPOoWh0626oTaHrnl2a","Frank Ocean","Ivy","Boys Don't Cry",181,197,5,"2720211"
192,"spotify:track:0wXThIDxO3YRJCpPgnmbkw","Bailey Zimmerman","Where It Ends","Warner Music Nashville/Elektra",38,-1,6,"2717618"
193,"spotify:track:69AIpwGNLxr4qS1X5ynx60","Jordan Davis, Luke Bryan","Buy Dirt","MCA Nashville",67,-1,102,"2715494"
194,"spotify:track:6LAicOLiCrHw0bmaLBDbC8","Gunna","whatsapp (wassam)","300 Entertainment",194,-1,1,"2705982"
195,"spotify:track:2YVlDlk2zRceefo6XlC6DX","Morgan Wallen","Ain’t That Some","Big Loud Records / Mercury Records / Republic Records",6,-1,28,"2687483"
196,"spotify:track:50a8bKqlwDEqeiEknrzkTO","21 Savage","ball w/o you","Slaughter Gang, LLC/Epic Records",71,-1,28,"2678911"
197,"spotify:track:7aEtlGHoiPAfRB084NiDmx","Luke Combs","Beer Never Broke My Heart","River House Artists/Columbia Nashville",51,-1,40,"2678851"
198,"spotify:track:6foY66mWZN0pSRjZ408c00","Morgan Wallen","Whiskey Glasses","Big Loud Records",43,-1,243,"2675723"
199,"spotify:track:6gBFPUFcJLzWGx4lenP6h2","Travis Scott","goosebumps","Cactus Jack / Epic",8,-1,290,"2675425"
200,"spotify:track:3iVcZ5G6tvkXZkZKlMpIUs","Kendrick Lamar","Alright","Aftermath",105,150,6,"2672537"
